date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:48:57	176199/176199	---M--	200	added ('OK')	image/jpeg	date:Thu,%2025%20Apr%202024%2012:54:41%20GMT	https://orientequipment.co.in/img/c3.jpg	D:/orientOld/Orient/orientequipment.co.in/img/c3.jpg	(from https://orientequipment.co.in/calibrate)
19:48:57	399003/399003	---M--	200	added ('OK')	image/jpeg	date:Thu,%2025%20Apr%202024%2012:54:26%20GMT	https://orientequipment.co.in/img/c2.jpg	D:/orientOld/Orient/orientequipment.co.in/img/c2.jpg	(from https://orientequipment.co.in/calibrate)
19:48:58	170847/170847	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Apr%202023%2017:56:00%20GMT	https://orientequipment.co.in/img/c4.jpg	D:/orientOld/Orient/orientequipment.co.in/img/c4.jpg	(from https://orientequipment.co.in/calibrate)
19:49:01	169658/169658	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Apr%202023%2017:56:00%20GMT	https://orientequipment.co.in/img/c5.jpg	D:/orientOld/Orient/orientequipment.co.in/img/c5.jpg	(from https://orientequipment.co.in/calibrate)
19:49:02	144993/144993	---M--	200	added ('OK')	image/jpeg	date:Fri,%2026%20Apr%202024%2005:45:54%20GMT	https://orientequipment.co.in/img/c6.jpg	D:/orientOld/Orient/orientequipment.co.in/img/c6.jpg	(from https://orientequipment.co.in/calibrate)
19:49:03	177244/177244	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Apr%202023%2017:55:58%20GMT	https://orientequipment.co.in/img/c7.jpg	D:/orientOld/Orient/orientequipment.co.in/img/c7.jpg	(from https://orientequipment.co.in/calibrate)
19:49:04	198305/198305	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Apr%202023%2017:55:58%20GMT	https://orientequipment.co.in/img/c8.jpg	D:/orientOld/Orient/orientequipment.co.in/img/c8.jpg	(from https://orientequipment.co.in/calibrate)
19:49:06	244089/244089	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Apr%202023%2017:55:58%20GMT	https://orientequipment.co.in/img/c9.jpg	D:/orientOld/Orient/orientequipment.co.in/img/c9.jpg	(from https://orientequipment.co.in/calibrate)
19:49:06	202898/202898	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Apr%202023%2017:55:58%20GMT	https://orientequipment.co.in/img/c10.jpg	D:/orientOld/Orient/orientequipment.co.in/img/c10.jpg	(from https://orientequipment.co.in/calibrate)
19:49:07	121052/121052	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20Mar%202023%2019:36:16%20GMT	https://orientequipment.co.in/images/banner/2.jpg	D:/orientOld/Orient/orientequipment.co.in/images/banner/2.jpg	(from https://orientequipment.co.in/manufacture)
19:49:07	355/355	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Jul%202026%2014:19:07%20GMT	https://orientequipment.co.in/img/power.png	D:/orientOld/Orient/orientequipment.co.in/img/power.c3.delayed	(from https://orientequipment.co.in/manufacture)
19:49:09	35942/35942	---MC-	200	added ('OK')	text/html	date:Thu,%2002%20Jul%202026%2014:19:08%20GMT	https://orientequipment.co.in/dewalt	D:/orientOld/Orient/orientequipment.co.in/dewalt.html	(from https://orientequipment.co.in/dealers)
19:49:10	12981/12981	---M--	200	added ('OK')	image/png	date:Fri,%2031%20Mar%202023%2019:36:18%20GMT	https://orientequipment.co.in/img/c6.png	D:/orientOld/Orient/orientequipment.co.in/img/c6.png	(from https://orientequipment.co.in/dealers)
19:49:11	36369/36369	---MC-	200	added ('OK')	text/html	date:Thu,%2002%20Jul%202026%2014:19:10%20GMT	https://orientequipment.co.in/bosch	D:/orientOld/Orient/orientequipment.co.in/bosch.html	(from https://orientequipment.co.in/dealers)
19:49:12	33691/33691	---M--	200	added ('OK')	image/png	date:Fri,%2031%20Mar%202023%2019:36:18%20GMT	https://orientequipment.co.in/img/c5.png	D:/orientOld/Orient/orientequipment.co.in/img/c5.png	(from https://orientequipment.co.in/dealers)
19:49:13	801699/801699	---M--	200	added ('OK')	image/png	date:Fri,%2031%20Mar%202023%2019:36:18%20GMT	https://orientequipment.co.in/img/ser.png	D:/orientOld/Orient/orientequipment.co.in/img/ser.png	(from https://orientequipment.co.in/manufacture)
19:49:13	37879/37879	---MC-	200	added ('OK')	text/html	date:Thu,%2002%20Jul%202026%2014:19:13%20GMT	https://orientequipment.co.in/metabo	D:/orientOld/Orient/orientequipment.co.in/metabo.html	(from https://orientequipment.co.in/dealers)
19:49:15	26529/26529	---M--	200	added ('OK')	image/png	date:Fri,%2031%20Mar%202023%2019:36:18%20GMT	https://orientequipment.co.in/img/c4.png	D:/orientOld/Orient/orientequipment.co.in/img/c4.png	(from https://orientequipment.co.in/dealers)
19:49:16	35711/35711	---MC-	200	added ('OK')	text/html	date:Thu,%2002%20Jul%202026%2014:19:15%20GMT	https://orientequipment.co.in/kaymo	D:/orientOld/Orient/orientequipment.co.in/kaymo.html	(from https://orientequipment.co.in/dealers)
19:49:17	45223/45223	---M--	200	added ('OK')	image/png	date:Thu,%2025%20Apr%202024%2012:54:48%20GMT	https://orientequipment.co.in/img/c3.png	D:/orientOld/Orient/orientequipment.co.in/img/c3.png	(from https://orientequipment.co.in/dealers)
19:49:18	35777/35777	---MC-	200	added ('OK')	text/html	date:Thu,%2002%20Jul%202026%2014:19:18%20GMT	https://orientequipment.co.in/chicaho	D:/orientOld/Orient/orientequipment.co.in/chicaho.html	(from https://orientequipment.co.in/dealers)
19:49:19	22154/22154	---M--	200	added ('OK')	image/png	date:Thu,%2025%20Apr%202024%2012:54:35%20GMT	https://orientequipment.co.in/img/c2.png	D:/orientOld/Orient/orientequipment.co.in/img/c2.png	(from https://orientequipment.co.in/dealers)
19:49:21	36001/36001	---MC-	200	added ('OK')	text/html	date:Thu,%2002%20Jul%202026%2014:19:20%20GMT	https://orientequipment.co.in/fein	D:/orientOld/Orient/orientequipment.co.in/fein.html	(from https://orientequipment.co.in/dealers)
19:49:22	29399/29399	---M--	200	added ('OK')	image/png	date:Thu,%2025%20Apr%202024%2012:54:18%20GMT	https://orientequipment.co.in/img/c1.png	D:/orientOld/Orient/orientequipment.co.in/img/c1.png	(from https://orientequipment.co.in/dealers)
19:49:23	35664/35664	---MC-	200	added ('OK')	text/html	date:Thu,%2002%20Jul%202026%2014:19:23%20GMT	https://orientequipment.co.in/karcher	D:/orientOld/Orient/orientequipment.co.in/karcher.html	(from https://orientequipment.co.in/dealers)
19:49:24	9736/9736	---M--	200	added ('OK')	image/png	date:Fri,%2005%20May%202023%2015:11:54%20GMT	https://orientequipment.co.in/img/c7.png	D:/orientOld/Orient/orientequipment.co.in/img/c7.png	(from https://orientequipment.co.in/dealers)
19:49:25	35493/35493	---MC-	200	added ('OK')	text/html	date:Thu,%2002%20Jul%202026%2014:19:25%20GMT	https://orientequipment.co.in/black-hawk	D:/orientOld/Orient/orientequipment.co.in/black-hawk.html	(from https://orientequipment.co.in/dealers)
19:49:26	355/355	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Jul%202026%2014:19:26%20GMT	https://orientequipment.co.in/img/c8.png	D:/orientOld/Orient/orientequipment.co.in/img/c8.d4.delayed	(from https://orientequipment.co.in/dealers)
19:49:27	12201/12201	---M--	200	added ('OK')	image/jpeg	date:Fri,%2026%20Apr%202024%2007:23:50%20GMT	https://orientequipment.co.in/img/clients/c1.jpg	D:/orientOld/Orient/orientequipment.co.in/img/clients/c1.jpg	(from https://orientequipment.co.in/dealers)
19:49:28	10920/10920	---M--	200	added ('OK')	image/jpeg	date:Fri,%2026%20Apr%202024%2007:23:54%20GMT	https://orientequipment.co.in/img/clients/c2.jpg	D:/orientOld/Orient/orientequipment.co.in/img/clients/c2.jpg	(from https://orientequipment.co.in/dealers)
19:49:29	17610/17610	---M--	200	added ('OK')	image/jpeg	date:Fri,%2026%20Apr%202024%2007:23:59%20GMT	https://orientequipment.co.in/img/clients/c3.jpg	D:/orientOld/Orient/orientequipment.co.in/img/clients/c3.jpg	(from https://orientequipment.co.in/dealers)
19:49:30	9728/9728	---M--	200	added ('OK')	image/jpeg	date:Fri,%2026%20Apr%202024%2007:24:03%20GMT	https://orientequipment.co.in/img/clients/c4.jpg	D:/orientOld/Orient/orientequipment.co.in/img/clients/c4.jpg	(from https://orientequipment.co.in/dealers)
19:49:32	16376/16376	---M--	200	added ('OK')	image/jpeg	date:Fri,%2026%20Apr%202024%2007:24:06%20GMT	https://orientequipment.co.in/img/clients/c5.jpg	D:/orientOld/Orient/orientequipment.co.in/img/clients/c5.jpg	(from https://orientequipment.co.in/dealers)
19:49:33	14397/14397	---M--	200	added ('OK')	image/jpeg	date:Fri,%2026%20Apr%202024%2007:24:11%20GMT	https://orientequipment.co.in/img/clients/c6.jpg	D:/orientOld/Orient/orientequipment.co.in/img/clients/c6.jpg	(from https://orientequipment.co.in/dealers)
19:49:34	19849/19849	---M--	200	added ('OK')	image/jpeg	date:Fri,%2026%20Apr%202024%2007:24:15%20GMT	https://orientequipment.co.in/img/clients/c7.jpg	D:/orientOld/Orient/orientequipment.co.in/img/clients/c7.jpg	(from https://orientequipment.co.in/dealers)
19:49:35	14450/14450	---M--	200	added ('OK')	image/jpeg	date:Fri,%2026%20Apr%202024%2007:24:19%20GMT	https://orientequipment.co.in/img/clients/c8.jpg	D:/orientOld/Orient/orientequipment.co.in/img/clients/c8.jpg	(from https://orientequipment.co.in/dealers)
19:49:36	13898/13898	---M--	200	added ('OK')	image/jpeg	date:Fri,%2026%20Apr%202024%2007:24:23%20GMT	https://orientequipment.co.in/img/clients/c9.jpg	D:/orientOld/Orient/orientequipment.co.in/img/clients/c9.jpg	(from https://orientequipment.co.in/dealers)
19:49:38	12754/12754	---M--	200	added ('OK')	image/jpeg	date:Fri,%2026%20Apr%202024%2007:24:26%20GMT	https://orientequipment.co.in/img/clients/c10.jpg	D:/orientOld/Orient/orientequipment.co.in/img/clients/c10.jpg	(from https://orientequipment.co.in/dealers)
19:49:39	10541/10541	---M--	200	added ('OK')	image/jpeg	date:Fri,%2026%20Apr%202024%2007:24:30%20GMT	https://orientequipment.co.in/img/clients/c11.jpg	D:/orientOld/Orient/orientequipment.co.in/img/clients/c11.jpg	(from https://orientequipment.co.in/dealers)
19:49:39	2199/2199	---M-Z	200	added ('OK')	text/css	date:Mon,%2004%20May%202020%2016:13:31%20GMT	https://cdnjs.cloudflare.com/ajax/libs/normalize/5.0.0/normalize.min.css	D:/orientOld/Orient/cdnjs.cloudflare.com/ajax/libs/normalize/5.0.0/normalize.min.css	(from https://orientequipment.co.in/dewalt)
19:49:44	359271/359271	---M--	200	added ('OK')	image/jpeg	date:Fri,%2026%20Apr%202024%2007:22:18%20GMT	https://orientequipment.co.in/img/de/1.jpg	D:/orientOld/Orient/orientequipment.co.in/img/de/1.jpg	(from https://orientequipment.co.in/dewalt)
19:49:45	267324/267324	---M--	200	added ('OK')	image/jpeg	date:Fri,%2026%20Apr%202024%2007:22:28%20GMT	https://orientequipment.co.in/img/de/3.jpg	D:/orientOld/Orient/orientequipment.co.in/img/de/3.jpg	(from https://orientequipment.co.in/dewalt)
